,Colorectal cancer,West nile virus infection,Lung cancer,Cerebral cavernous malformations,Thyroid cancer,Esophageal cancer,Alzheimer disease,Rheumatoid arthritis,Colorectal adenocarcinoma,Gastric cancer,Pancreatic adenocarcinoma,Liver fibrosis,Hepatocellular carcinoma,Osteoarthritis,Multiple myeloma,Prostate cancer,Osteosarcoma,Colorectal carcinoma,Muscle-invasive bladder cancer,Parkinson disease,Breast cancer,Pancreatic cancer,Colon cancer,Laryngeal cancer,Laryngeal squamous cell carcinoma,Glioblastoma,Glioma,Pancreatic ductal adenocarcinoma,Liver cancer,Lung squamous cell carcinoma,Non small cell lung cancer,Non small cell lung carcinoma,Ovarian carcinoma,Cervical cancer,Renal cell carcinoma,Clear cell renal cell carcinoma,Cholangiocarcinoma,Neuroblastoma,Acute myeloid leukemia,Nasopharyngeal carcinoma,Esophageal squamous cell cancer,Esophageal squamous cell carcinoma,Liver cirrhosis,Early hepatocellular carcinoma,Triple negative breast cancer,Bladder cancer,Atherosclerosis,Ovarian cancer,Papillary thyroid cancer,Papillary thyroid carcinoma,Gastric carcinoma,Nasopharyngeal cancer,Nk/T cell lymphoma,Ischemia,Esophagus adenocarcinoma,Retinoblastoma,Epithelial ovarian cancer,Renal cell cancer,Diffuse large B cell lymphoma,Oral squamous cell carcinoma,Lymphoma,Hemangioma,Myasthenia gravis,Pneumonia,Pediatric neuroblastoma,Leukemia lymphoblastic acute,Tongue squamous cell carcinoma,Melanoma,Nonalcoholic fatty liver disease,Epithelial ovarian carcinoma,Herpes simplex keratitis,Dysregulated immunity,Pre-eclampsia,Chronic obstructive pulmonary disease,Lung adenocarcinoma,T-cell acute lymphoblastic leukemia,Chronic myeloid leukemia,Ovarian clear cell carcinoma,Primary breast cancer,Wilms tumor,Colon and rectal adenocarcinoma,Uveal melanoma,Hypopharyngeal cancer,Cardiac hypertrophy,Hepatic carcinoma,Cancer,Tuberculosis,Prader-willi syndrome,Acute promyelocytic leukemia,Heart failure,Uterine leiomyoma,Adenocarcinoma,Lung carcinoma,Head and neck squamous cell carcinoma,Psoriatic arthritis,B-cell lymphoma,Prostate carcinoma,Prostatic neoplasms,Malignant glioma,Epstein-barr virus infections,Stomach cancer,Urinary bladder cancer,Colon carcinoma,Gallbladder cancer,Liposarcoma,Meningioma,Uterine cervical neoplasm,Renal carcinoma,Lung small cell carcinoma,Mouth neoplasms,Lymphosarcoma,Breast neoplasms
SNORA35,0.105783746,0.143899671,0.117417165,0.05591926,0.009982272,0.015027768,8.76391E-05,0.012272401,0.002042337,0.387352074,0.004665965,0.000253265,0.135325294,0.006436848,0.002867703,0.024291455,0.005161766,0.00058759,0.004435328,0.000369767,0.027320529,0.004903931,0.002306725,0.000970648,0.000137699,0.003262052,0.005257799,0.285572453,0.00348379,0.000142556,0.002559867,0.005083335,0.000548397,0.001437419,0.001027641,0.001303305,0.001020143,0.001008847,0.006064388,0.000236592,0.000190783,8.54232E-05,0.003548737,0.003929957,3.73549E-05,0.001534377,3.58048E-05,0.008289183,0.003208142,0.000955791,0.000736096,5.61737E-06,1.55647E-05,0.000294345,0.000826018,0.001938047,0.001411424,0.000730155,0.392224107,0.018727858,0.005386269,0.002895812,0.001357019,0.001866931,0.003392991,0.00353204,0.001972824,0.001592727,5.68525E-06,0.001064754,0.000544304,0.028227223,0.001194676,0.001136579,0.239852457,0.002263256,0.002941235,3.06149E-05,0.001316549,0.000619278,0.000599209,0.000369098,0.000421164,0.000359657,0.00051536,0.157811598,0.001988637,0.003972839,0.002849158,0.005436681,0.020394691,0.003752193,0.002910989,0.002445931,0.001740237,0.004412331,0.00176022,0.000741076,0.001920907,0.000392954,0.000833491,0.000860734,0.000446355,0.00045121,0.000440149,0.000462631,0.000425236,0.000420445,0.000704965,0.000974785,0.001786087,0.000437642
SNORA36A,0.086655977,0.127935677,0.121283031,0.058440733,0.006447094,0.013356559,7.16813E-05,0.013794155,0.001641293,0.421400168,0.003836951,0.00023749,0.121870768,0.005868115,0.002244319,0.025274336,0.003805594,0.000151543,0.003436439,5.3141E-108,0.028074145,0.002667561,0.001116688,0.000669514,7.74291E-38,0.001842643,0.00385238,0.223495851,0.002100469,1.03012E-06,0.001584024,0.00396328,1.41421E-16,0.000529235,0.000417875,0.000549343,0.000715174,5.5282E-108,0.005467331,2.32974E-35,0.000263622,7.77743E-07,0.003409986,0.003062609,4.85498E-05,0.000701557,3.31245E-05,0.007430194,0.002516257,0.000383663,0.000579511,5.19678E-06,1.43993E-05,0.000271335,0.000199511,0.001513979,0.000885276,1.48042E-71,0.307605326,0.020052175,0.004282318,0.00228726,0.00112704,0.001464174,0.002666077,0.002831383,0.00158048,0.000563906,5.25957E-06,0.000847136,0.000492458,0.03701842,0.000939168,0.000897832,0.188106473,0.00182879,0.002278858,4.20877E-05,0.000997508,0.000471653,0.000429389,1.13166E-05,3.78215E-05,2.3477E-05,2.58222E-08,0.126384935,0.00177577,0.00306878,0.002140749,0.005444674,0.022304699,0.003068406,0.002401286,0.001959283,0.001405608,0.003550121,0.001422804,0.000386633,0.001035473,0.000615893,0.000373108,0.000396786,3.73527E-05,5.73726E-05,5.388E-05,8.4682E-05,5.25313E-05,4.54943E-05,0.000251517,0.000472144,0.001195853,2.92822E-05
SNORA36C,0.090213387,0.130282891,0.11367852,0.057180673,0.006884916,0.012608364,7.6658E-05,0.012513541,0.001732048,0.396211922,0.003964808,0.000224724,0.119010258,0.005909577,0.002367047,0.02346334,0.003494046,0.000163025,0.003593882,1.53264E-89,0.026458507,0.002818367,0.001201295,0.000710511,4.64283E-38,0.001724051,0.003759753,0.240429253,0.002178532,6.17686E-07,0.001490171,0.00364336,1.56077E-16,0.000378941,0.000449535,0.000539438,0.000765368,4.18156E-89,0.005099733,2.57119E-35,0.000158074,8.3667E-07,0.00337319,0.003256242,3.7124E-05,0.000754711,3.65567E-05,0.007290909,0.00270695,0.000412731,0.000589484,5.73535E-06,1.58916E-05,0.000299455,0.000220187,0.001634667,0.000950294,1.59258E-71,0.330911373,0.018902098,0.004558248,0.002463521,0.001156924,0.001575112,0.002863494,0.002991506,0.001672144,0.000565251,5.80465E-06,0.000905493,0.000300133,0.028309313,0.001010583,0.000961619,0.202358561,0.001902106,0.002442391,3.03507E-05,0.001053069,0.000489696,0.000444798,6.80988E-06,2.58993E-05,2.59101E-05,2.84983E-08,0.134702284,0.001713597,0.003286398,0.002269222,0.005216028,0.020850698,0.003188464,0.002439327,0.002074209,0.0014776,0.00374052,0.00149441,0.000351301,0.001093808,0.000384578,0.000372147,0.000408632,2.75752E-05,4.2401E-05,4.37259E-05,7.68288E-05,3.88897E-05,3.32031E-05,0.000248824,0.000486132,0.001224413,2.66613E-05
SNORA37,0.105577303,0.14365332,0.117442078,0.056254307,0.009974581,0.01504331,8.77477E-05,0.012253595,0.002036252,0.387435027,0.004648561,0.000252456,0.135274408,0.006433592,0.00286123,0.024285488,0.005162805,0.000588026,0.004421259,0.000370666,0.027332548,0.004897211,0.002305017,0.000968557,0.000138034,0.003265847,0.005260782,0.284802494,0.003476656,0.000142885,0.002563225,0.005085031,0.00054973,0.001436532,0.001027402,0.001304658,0.001018074,0.0010113,0.006057535,0.000237167,0.000186667,8.56258E-05,0.003549314,0.003922483,3.72282E-05,0.001533511,3.66205E-05,0.008286676,0.003199503,0.000955601,0.000736939,5.74536E-06,1.59194E-05,0.00030103,0.000832415,0.001938966,0.001409081,0.00073193,0.391162393,0.018735984,0.005371022,0.002890904,0.001352047,0.00186188,0.003383686,0.00352118,0.001967048,0.001594337,5.81478E-06,0.001062541,0.000537451,0.027927965,0.001191817,0.001133648,0.239203199,0.002255686,0.002933983,3.03577E-05,0.001313026,0.000618156,0.000597759,0.000369801,0.000421783,0.000361048,0.000516613,0.157410802,0.001977722,0.003968618,0.00284611,0.005451925,0.020393382,0.003739194,0.002899352,0.002438983,0.00173498,0.00439867,0.001754812,0.000741712,0.001918736,0.000384404,0.000832892,0.000860218,0.000447196,0.000451935,0.000441175,0.00046432,0.000425935,0.000421139,0.000704919,0.000974052,0.001781977,0.000438908
SNORA3A,0.207883391,0.176828555,0.225870944,0.05918221,0.06473696,0.088057172,0.011449402,0.018011199,0.009979663,0.476988654,0.013604094,0.006017974,0.341294602,0.020769111,0.011685774,0.077143048,0.066417106,0.021169077,0.026518305,0.025933921,0.085449533,0.046821422,0.035637564,0.014898796,0.017215972,0.050977119,0.058924439,0.362855163,0.039569601,0.017164835,0.048310502,0.054629587,0.019182963,0.040561072,0.025465938,0.032748967,0.014584019,0.028272998,0.036185858,0.021237041,0.019966568,0.024010972,0.009691938,0.013696877,0.010979232,0.032117255,0.009651323,0.043468639,0.019359065,0.023597359,0.012599242,0.009957267,0.009634459,0.009206269,0.018326035,0.016947604,0.018850609,0.0231382,0.477246879,0.041951469,0.017734751,0.014429093,0.012082371,0.012995864,0.015545821,0.015379554,0.010697094,0.027538072,0.009322376,0.008713566,0.009586599,0.02395275,0.010232378,0.010241251,0.295719504,0.012445976,0.013914603,0.009766693,0.01293621,0.011468889,0.012056178,0.015045293,0.016014022,0.013412094,0.016911807,0.19698922,0.007795698,0.012327845,0.012557401,0.01517398,0.028474105,0.011993936,0.0121908,0.010645573,0.009033666,0.012285961,0.00966313,0.011889364,0.018082548,0.004470828,0.014210742,0.013798086,0.01291182,0.013291972,0.012563934,0.012719668,0.012978869,0.01288566,0.013387619,0.014382702,0.012072272,0.012252904
SNORA3B,0.165231382,0.172889264,0.201866504,0.058403292,0.038154021,0.051405898,0.005917856,0.018429882,0.008166828,0.433160274,0.011109786,0.006018516,0.288818092,0.013911937,0.010043551,0.046352113,0.030120853,0.010745918,0.013054304,0.010214874,0.051835412,0.028432337,0.018022484,0.008365598,0.007468742,0.026420443,0.026619049,0.352702291,0.019673807,0.007510397,0.020114215,0.027513101,0.012348511,0.018433897,0.012350659,0.015261232,0.008259444,0.017825057,0.021835993,0.008643957,0.006182735,0.006838114,0.00966847,0.01149187,0.00581766,0.014493596,0.005822873,0.022368567,0.009637436,0.011937354,0.007320639,0.005811029,0.005814512,0.00592821,0.013153849,0.008458949,0.010541996,0.014482812,0.473474202,0.029188678,0.012123711,0.009165133,0.007314455,0.008021078,0.009838512,0.009916574,0.008092516,0.01820569,0.005795271,0.007029512,0.008608246,0.023972978,0.007206458,0.007133825,0.291795826,0.008651695,0.009849116,0.005803602,0.008129819,0.00701606,0.007313012,0.010104037,0.01049923,0.00977843,0.01192425,0.193241297,0.007851038,0.011753052,0.011204284,0.015079372,0.028055463,0.010082529,0.009586388,0.008641202,0.007799959,0.010917661,0.007827747,0.010868515,0.014811265,0.005804241,0.011043668,0.010893752,0.010787568,0.01067077,0.010530568,0.010425611,0.010403763,0.010413072,0.01106857,0.011273678,0.011600504,0.010704531
SNORA4,0.202728408,0.159910422,0.216167868,0.046139739,0.064717039,0.089375154,0.008140126,0.012577925,0.005850557,0.441734593,0.009388957,0.00174469,0.33722073,0.017074796,0.007474106,0.076249955,0.06846626,0.018790545,0.024259276,0.024473193,0.084633583,0.045739246,0.034487197,0.011714919,0.014660983,0.051148552,0.060146938,0.336305882,0.038731103,0.014594724,0.048981138,0.055032282,0.016131305,0.040302282,0.023531605,0.031619376,0.011356538,0.025948973,0.034124608,0.019191675,0.018087255,0.022724728,0.005064354,0.009476642,0.007591125,0.030947038,0.006049827,0.042244989,0.016490432,0.021410248,0.009167598,0.006417991,0.006035802,0.005416608,0.014930492,0.013932955,0.015986992,0.020542751,0.440332966,0.038063892,0.013970141,0.010796191,0.008539512,0.009437873,0.011970554,0.011756159,0.006707561,0.024963115,0.005682812,0.00464635,0.005569211,0.018122231,0.006392785,0.006420876,0.271764944,0.008652744,0.010108781,0.006179209,0.009403723,0.007922148,0.008576695,0.011711591,0.012780658,0.009854691,0.013630069,0.179822268,0.003380143,0.007814684,0.008308922,0.010376018,0.022281009,0.00774591,0.00815196,0.006512185,0.004824325,0.00787916,0.005558174,0.007727577,0.014335632,2.83376E-08,0.010471452,0.010001462,0.009011878,0.009484421,0.008639587,0.008834339,0.009156936,0.009046696,0.009506192,0.010621364,0.007738822,0.008235226
SNORA40,0.121720343,0.162893209,0.119711347,0.059021919,0.014511378,0.018354219,0.0042065,0.015612636,0.006370365,0.394739691,0.009214383,0.004297013,0.142699973,0.0110482,0.007234646,0.027629943,0.008597258,0.004605642,0.008974325,0.004347666,0.031287055,0.008938717,0.006350109,0.005139457,0.004206146,0.006879362,0.00911544,0.333549268,0.007562468,0.004200801,0.006300867,0.008539845,0.004473902,0.004942228,0.005066441,0.005207619,0.005213035,0.004788826,0.009788483,0.004272157,0.004146385,0.004169798,0.007799231,0.008452228,0.004096001,0.005554282,0.0041111,0.012598289,0.007784455,0.004961867,0.004802871,0.004086069,0.004093478,0.004317515,0.004671111,0.00621293,0.005569022,0.004573582,0.456924486,0.022925344,0.010204614,0.007376939,0.00553596,0.006214359,0.007976832,0.008057914,0.006297778,0.005402811,0.004070878,0.005277097,0.004228297,0.020679441,0.005435265,0.005363071,0.281004768,0.00656406,0.007413903,0.004079236,0.005523212,0.004726348,0.00469742,0.004315923,0.004346206,0.004314858,0.004418858,0.18505215,0.006062026,0.008487015,0.00715208,0.009391457,0.024414636,0.008227442,0.007189536,0.006834598,0.006015686,0.009036668,0.006041571,0.004660838,0.005952739,0.004087882,0.004793672,0.004851134,0.00436371,0.004363505,0.004361081,0.004382722,0.00434735,0.004345264,0.004649085,0.004965165,0.005859349,0.004366227
SNORA41,0.120186564,0.163600076,0.115757679,0.058009133,0.013525017,0.016832828,0.00453068,0.015931654,0.006702295,0.394845461,0.009558436,0.00461951,0.135057985,0.011316349,0.007501295,0.027050425,0.007752116,0.004666395,0.00918576,0.004424341,0.030617471,0.008220649,0.006088125,0.00537911,0.00443916,0.00614463,0.008506153,0.334711216,0.007281739,0.004430628,0.005895579,0.007838932,0.004430984,0.004546362,0.005061568,0.005036453,0.005463526,0.004436359,0.009521311,0.00443866,0.004452916,0.004438593,0.008109919,0.00870453,0.004419676,0.005453716,0.004433048,0.01246938,0.008123752,0.004975431,0.005067229,0.004410859,0.004417337,0.004614145,0.004566068,0.006490465,0.005706241,0.004407488,0.458952289,0.023063327,0.010549818,0.007703432,0.005865167,0.006547529,0.008316648,0.008396814,0.006629538,0.005068459,0.004395042,0.005603258,0.004392628,0.020994634,0.005764045,0.005691963,0.282371287,0.006880184,0.007712259,0.004403215,0.005802408,0.005017159,0.004971141,0.004397423,0.00440508,0.004412487,0.00439728,0.186019774,0.006393173,0.008712685,0.00733148,0.009434457,0.024728205,0.008566062,0.007490897,0.007167347,0.006346008,0.009377955,0.006372348,0.004718924,0.005857394,0.004409773,0.004848547,0.004919256,0.004406769,0.00441273,0.004417783,0.004443185,0.004411791,0.004409401,0.004693514,0.005017493,0.005949886,0.004413536
SNORA44,0.105827817,0.144041039,0.116649674,0.055491868,0.00989947,0.014839007,8.75795E-05,0.012202542,0.0020476,0.385865442,0.004675,0.000251999,0.134540038,0.006430337,0.002868554,0.024120517,0.00505555,0.000568123,0.004435623,0.000350874,0.027149844,0.00483297,0.002266646,0.000966295,0.000130664,0.003174642,0.005179518,0.28654873,0.003442289,0.000135285,0.002497287,0.004986453,0.000520377,0.001373091,0.001004241,0.001264924,0.001017037,0.0009573,0.005999416,0.000224503,0.000184217,8.11127E-05,0.003541589,0.003932426,3.63871E-05,0.001504845,3.51144E-05,0.008243672,0.003219434,0.000933679,0.000729736,5.50906E-06,1.52646E-05,0.000288636,0.000790674,0.001936913,0.001400624,0.000692848,0.393609662,0.018644623,0.005402345,0.002903419,0.001358956,0.001873523,0.003404754,0.003541744,0.001978134,0.001542552,5.57563E-06,0.001067434,0.000522652,0.027794724,0.001198551,0.001140139,0.240699751,0.002266568,0.002947567,2.97851E-05,0.001315974,0.000617153,0.000596022,0.000350377,0.000400244,0.000342088,0.000489028,0.158306038,0.001986438,0.003972717,0.002841949,0.005391656,0.02031039,0.003759867,0.002911714,0.002452403,0.001744356,0.004423756,0.001764377,0.000718632,0.001891897,0.000380987,0.00081269,0.000841628,0.000424229,0.000429203,0.000418815,0.000441169,0.000404471,0.000399774,0.000683305,0.000954559,0.001769523,0.000416037
SNORA46,0.128763568,0.135280003,0.20504717,0.0604212,0.029084244,0.045951583,6.99745E-05,0.014510999,0.001655748,0.462576463,0.003808515,0.000210852,0.271525197,0.007089289,0.003303886,0.042727194,0.02423129,0.004730976,0.005724441,0.004289779,0.047829644,0.020957279,0.011390885,0.002207537,0.001597493,0.020292778,0.020211751,0.236806527,0.012740936,0.001647133,0.014101066,0.021755985,0.006362124,0.012591743,0.006170342,0.009173618,0.002072067,0.011703953,0.015998627,0.002744775,0.000497283,0.000980317,0.003586952,0.00436696,3.41949E-05,0.008144513,2.65373E-05,0.015765145,0.002588104,0.005807678,0.001398026,4.16338E-06,1.1536E-05,0.000229561,0.007240819,0.002079832,0.004227019,0.008470752,0.316418422,0.024954492,0.004356684,0.002328597,0.001109084,0.001506099,0.002738437,0.002863514,0.001598265,0.012012863,4.21369E-06,0.000858566,0.003058728,0.031647651,0.000962838,0.000917479,0.193495848,0.002113561,0.002959324,2.81413E-05,0.001872212,0.001037964,0.0013283,0.004208104,0.004606441,0.003896895,0.005978547,0.130686857,0.001657303,0.004654144,0.004525041,0.00974773,0.024317046,0.003056544,0.002937492,0.00198078,0.001412195,0.003579566,0.001428886,0.005001223,0.00837441,0.000391137,0.005021832,0.004837399,0.004881438,0.004778167,0.004637097,0.004545587,0.004514663,0.004520103,0.005081541,0.005184668,0.00527604,0.004792156
SNORA48,0.184876425,0.204233012,0.139093837,0.053462711,0.041795575,0.048714491,0.015789332,0.023046254,0.016425247,0.406678841,0.020567551,0.012631761,0.197792599,0.024283502,0.017405617,0.05345098,0.038969811,0.019324484,0.026765263,0.022084984,0.058602141,0.030047782,0.025992584,0.017644555,0.018325742,0.030381937,0.037317492,0.450085609,0.028936258,0.018255493,0.031649345,0.033328639,0.017070947,0.026709664,0.021545291,0.024240865,0.017610779,0.019756887,0.027146176,0.020110716,0.020584378,0.022615553,0.016343233,0.019272514,0.015416949,0.02487644,0.014643448,0.034279746,0.022947387,0.020533601,0.01630006,0.014830458,0.014637735,0.014279916,0.016121124,0.019909758,0.019294966,0.018348376,0.607731884,0.0377181,0.023663374,0.019664999,0.017080725,0.01810496,0.020837229,0.020787121,0.016792777,0.019789164,0.014432396,0.014900885,0.013221381,0.028040934,0.015921703,0.015879138,0.377403378,0.017855887,0.019122575,0.014692746,0.017103794,0.015818553,0.015985317,0.015708302,0.016087801,0.014903778,0.015924198,0.248387232,0.014934693,0.018252571,0.017064983,0.017203157,0.031813291,0.018912228,0.01798874,0.017134014,0.015612323,0.019648514,0.016007743,0.013712068,0.016925313,0.011589363,0.015267349,0.015184452,0.014099708,0.014384735,0.014021035,0.014166065,0.014330007,0.014270788,0.014586076,0.015459053,0.015040868,0.013748944
SNORA49,0.090026996,0.130135206,0.113981698,0.058183128,0.006889897,0.012654842,7.73992E-05,0.012559453,0.001728363,0.397188851,0.003956465,0.000227095,0.119099132,0.005919856,0.002366533,0.023531107,0.003505568,0.000162464,0.003584715,2.14387E-62,0.026521684,0.002810265,0.001197163,0.000708781,4.74134E-38,0.001728581,0.003768263,0.239602215,0.002173556,6.30792E-07,0.0015006,0.003660033,1.65835E-16,0.000392553,0.000447989,0.000539705,0.00076346,5.84918E-62,0.00511213,2.73194E-35,0.000161428,8.33792E-07,0.00338775,0.003256549,3.86363E-05,0.000752115,3.88422E-05,0.007302963,0.002697759,0.000411311,0.000598064,6.09393E-06,1.68852E-05,0.000318177,0.000233953,0.001644661,0.000947278,4.23335E-62,0.32977309,0.018952588,0.004546229,0.002462789,0.001155655,0.001569702,0.002853831,0.002983797,0.001668372,0.000565011,6.16756E-06,0.000904883,0.000306939,0.028593584,0.001008113,0.000959192,0.20166248,0.001898622,0.002436209,3.14572E-05,0.001050768,0.000490841,0.000444579,6.95656E-06,2.67401E-05,2.753E-05,3.028E-08,0.13429077,0.001714747,0.003292875,0.002275173,0.005263351,0.020906096,0.0031824,0.002436163,0.00206997,0.001474921,0.003731823,0.001491599,0.000353311,0.001091727,0.00039412,0.000373049,0.000408863,2.86285E-05,4.40241E-05,4.56863E-05,8.0815E-05,4.03833E-05,3.44434E-05,0.000249652,0.000486417,0.001224219,2.80503E-05
SNORA50A,0.057384533,0.089098353,0.120445277,0.043187754,0.00501667,0.014992157,3.00184E-05,0.012640732,0.000839758,0.400000265,0.001998713,0.000113025,0.113541864,0.004325821,0.001202971,0.024934776,0.005153904,0.000446723,0.001966309,0.000346033,0.028075775,0.002850568,0.001398559,0.000465634,0.000128861,0.003215365,0.004497806,0.115113608,0.001952368,0.000133442,0.002329089,0.005019003,0.000513197,0.001235922,0.000677242,0.001143348,0.000471509,0.000944093,0.005513147,0.000221406,0.000187862,7.94109E-05,0.002550437,0.001610349,2.00313E-05,0.000958355,7.49332E-10,0.006611346,0.001288913,0.000633291,0.000307939,8.48728E-22,2.35168E-21,9.82657E-07,0.000571184,0.000712132,0.000720591,0.000683289,0.157668105,0.019232182,0.002190184,0.001117862,0.000582369,0.00075043,0.001367176,0.001456377,0.000808282,0.001345672,8.58983E-22,0.000419431,0.000516724,0.028687447,0.000474356,0.000455926,0.096417028,0.000967235,0.001207409,1.9516E-05,0.000580416,0.000276147,0.000291167,0.000345757,0.000388779,0.000312824,0.000482255,0.068922977,0.000944426,0.001583434,0.001209974,0.004995845,0.021052058,0.001586278,0.001303058,0.000998425,0.000718434,0.001824012,0.000728464,0.000714376,0.001118897,0.000357788,0.000564985,0.000558599,0.000408272,0.000407663,0.000390085,0.000381819,0.000384448,0.000382763,0.000517264,0.000618574,0.000942556,0.000391678
SNORA50C,0.109556344,0.125972844,0.211228731,0.072613081,0.03014844,0.056300747,0.006638009,0.023791742,0.004001219,0.690675668,0.006422101,0.00152571,0.20525219,0.013909354,0.004188562,0.070674623,0.042132072,0.011343889,0.016456468,0.01634326,0.076240679,0.020360495,0.018688579,0.007923997,0.010631068,0.027592991,0.037054879,0.12658582,0.021773168,0.010537334,0.03054993,0.033515415,0.007717541,0.023587344,0.014050594,0.018681692,0.007722992,0.01114415,0.023102725,0.013351466,0.015274021,0.017771365,0.005168773,0.005091585,0.006310498,0.01849051,0.004956656,0.030530737,0.011901863,0.012617484,0.00674972,0.005258291,0.004945161,0.004427324,0.006112385,0.010090251,0.00968048,0.009509328,0.163977026,0.044034908,0.009082901,0.007450137,0.006689467,0.006795862,0.008135678,0.008225419,0.004700861,0.010665995,0.004655955,0.003333661,0.00354651,0.082540038,0.004646528,0.004725535,0.102317587,0.006152947,0.006368564,0.005152571,0.006471602,0.005845922,0.00610427,0.005996068,0.006599739,0.004722085,0.005999817,0.079751656,0.003071351,0.003389223,0.003758119,0.008892598,0.036377851,0.005215128,0.005684194,0.004346455,0.003318949,0.004774191,0.003920011,0.002732807,0.004905515,0.001648488,0.004533425,0.004240071,0.003262356,0.003791055,0.003191013,0.003455708,0.003737463,0.003626574,0.00360959,0.004491666,0.002501072,0.002655371
SNORA51,0.057773198,0.089157472,0.120792586,0.043120565,0.005201216,0.015214689,3.0096E-05,0.012593984,0.000841417,0.399325832,0.001998811,0.000111978,0.114551619,0.004333275,0.001213162,0.024997419,0.005299574,0.000482481,0.001986034,0.000379278,0.028165393,0.002994992,0.001480157,0.000478344,0.000141241,0.003353639,0.004619679,0.115612075,0.002035326,0.000146182,0.002421867,0.005143728,0.000562503,0.001322621,0.000722562,0.001209599,0.00048312,0.001034797,0.00557868,0.000242677,0.000185157,8.70035E-05,0.002548442,0.001624163,1.93852E-05,0.001017278,7.24773E-10,0.006667454,0.00129392,0.000676005,0.000313788,8.39306E-23,2.32566E-22,1.07707E-06,0.00062606,0.000719146,0.00074797,0.000748936,0.158280487,0.019224756,0.00219637,0.001122204,0.000582002,0.000753345,0.00137227,0.001459459,0.000810081,0.001434146,8.49448E-23,0.000420744,0.000528356,0.028276795,0.000476192,0.000457485,0.09679151,0.000970068,0.001216315,1.88764E-05,0.000588152,0.000280626,0.000298199,0.000378088,0.000423657,0.000342878,0.000528587,0.069141822,0.000938824,0.001600244,0.001230669,0.005018879,0.021009826,0.001587125,0.001305736,0.001000693,0.000719578,0.00182737,0.000729569,0.000748664,0.001176786,0.000346062,0.000600489,0.000592972,0.000445365,0.000443562,0.000425105,0.000415904,0.000418403,0.00041688,0.00055426,0.000655043,0.000973792,0.000428425
SNORA52,0.105978322,0.144190008,0.116449928,0.055542057,0.009913538,0.01480965,8.78965E-05,0.01219419,0.002053182,0.38521743,0.004688691,0.000253255,0.134442637,0.00643507,0.002876227,0.024084663,0.005044951,0.000566976,0.004446613,0.000349354,0.027098916,0.004835363,0.002266504,0.000967981,0.000130098,0.003165571,0.005172728,0.287243986,0.003445915,0.00013471,0.002492987,0.004977554,0.000518123,0.001373189,0.001003512,0.001261774,0.001018889,0.000953154,0.00599541,0.000223531,0.000186226,8.07682E-05,0.003544107,0.003942852,3.67998E-05,0.001504405,3.54262E-05,0.008241176,0.003227299,0.000932959,0.000732445,5.55799E-06,1.54002E-05,0.000291187,0.000790044,0.001942787,0.00140225,0.000689847,0.394569936,0.018612578,0.00541641,0.002911229,0.001363139,0.001878095,0.003413128,0.003551227,0.001983458,0.001538805,5.62514E-06,0.001070347,0.000525663,0.027920976,0.001201571,0.001143052,0.241286976,0.002272943,0.002954726,3.01383E-05,0.001319052,0.000618809,0.00059729,0.00034898,0.000398935,0.000340935,0.000486911,0.158656011,0.001994108,0.003983443,0.00284927,0.005387344,0.020279497,0.00377074,0.002920562,0.002459033,0.001749221,0.00443581,0.001769302,0.000716913,0.001892836,0.000385996,0.000812619,0.000841576,0.000422824,0.000428008,0.000417651,0.000440334,0.000403327,0.000398566,0.00068269,0.000954701,0.001772633,0.000414608
SNORA53,0.067087392,0.105479887,0.125300441,0.05885348,0.007308048,0.016536384,0.003067209,0.016654816,0.004102599,0.428575242,0.005557655,0.003183073,0.11484206,0.007951849,0.004501127,0.028387523,0.006838823,0.00311678,0.00528334,0.003016911,0.031500657,0.004838639,0.003754394,0.003469032,0.003031275,0.004887054,0.006586339,0.146840151,0.004414584,0.003031786,0.004545302,0.00696068,0.003116655,0.003459529,0.003299908,0.003523371,0.00349419,0.003120972,0.008169187,0.003033681,0.003236875,0.003023328,0.00599773,0.005036261,0.003073829,0.003491232,0.003041636,0.009699825,0.004650095,0.003275379,0.00343671,0.003022626,0.0030296,0.0032275,0.003267105,0.004029157,0.003601861,0.003027349,0.200979942,0.023292124,0.005809647,0.004511759,0.003761495,0.003961791,0.004749733,0.004872076,0.004063234,0.003592754,0.003016527,0.003576687,0.003407765,0.03653974,0.003626078,0.003601624,0.124081325,0.004230995,0.004504172,0.003064124,0.003685926,0.003348164,0.00331729,0.003045412,0.003070035,0.0030397,0.003030469,0.087849685,0.004236301,0.00503504,0.00444177,0.00839413,0.025479428,0.005047988,0.004631703,0.00430905,0.003957806,0.005350283,0.003966287,0.003530205,0.003783818,0.003497907,0.003353615,0.003367518,0.003148475,0.003154194,0.003160322,0.003177398,0.003151598,0.003146709,0.003283525,0.003415444,0.003927203,0.0031542
